method,distance,seed,proposal_scale,tolerance,beta_mean_shift,gamma_mean_shift,rho_mean_shift,beta_std_ratio_vs_baseline,gamma_std_ratio_vs_baseline,rho_std_ratio_vs_baseline,beta_w1_vs_baseline,gamma_w1_vs_baseline,rho_w1_vs_baseline
rejection,euclidean,,,0.01,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
rejection,mahalanobis,,,0.01,0.015833890902372166,0.005960800822345014,0.023345554774846455,0.737337114527987,1.0791516601186855,0.803712180673032,0.01592587969240555,0.005838055181944127,0.02446063065608287
rejection,reweighted,,,0.01,0.004233286856828916,0.0015692073255209327,0.003475889800420129,0.8689648704076856,0.9385695677006208,0.7474976157985329,0.00817235517341752,0.003482535452189554,0.01901718947701319
rejection,euclidean,,,0.02,0.0061014091071597,0.0069670377558099655,0.004806973759547362,1.0321998662762812,1.2229665502528522,0.9168818792367178,0.007157408066482482,0.007064180323916277,0.010585479565078137
rejection,mahalanobis,,,0.02,0.0029883692114663074,0.012607887184873726,0.014123760529434481,0.8200860860930745,1.1805140713044342,0.9526015084584111,0.007773651989049981,0.0128800479288802,0.016970483674136384
rejection,reweighted,,,0.02,0.00014346003578027955,0.00887225481924983,0.004885658371436452,0.9128918350379823,1.1562130989338235,0.8633586526388775,0.005789593070580411,0.008906853897327515,0.01814376812301333
rejection,euclidean,,,0.05,0.032212488187312566,0.019232791314412953,0.013193785380979928,1.3205086125648173,1.4186182738202837,1.2107359361797136,0.032289317321608516,0.019443133524711945,0.01647666563817332
rejection,mahalanobis,,,0.05,0.02305970115212594,0.026453409908837627,0.011494388432269353,1.2350182934191631,1.5049471584454654,1.2624155596881403,0.02311417828564864,0.026779473210114466,0.023220759148711943
rejection,reweighted,,,0.05,0.03663216542546524,0.015766717172875783,0.0012534516435581122,1.4429898501866618,1.4216602034409485,1.2497125058650387,0.03732800681342013,0.01611431833867767,0.018337500096808804
mcmc,euclidean,0.0,0.05,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
mcmc,mahalanobis,0.0,0.05,,0.002936633242398845,0.013490405386740872,0.002206860171660774,0.9393422588637927,1.27434574101193,1.0137784115842383,0.003444654928537763,0.01350355504812995,0.0029966509709588394
mcmc,reweighted,0.0,0.05,,0.004504283591139413,0.01150363564039572,0.004631991342464725,1.1927858637805906,1.5878162690975963,1.1832636748031407,0.006086104219578607,0.011979184995500245,0.00818906311240969
mcmc,euclidean,0.0,0.1,,0.0016295608764600178,0.0005679084193288969,0.0032520724170159165,1.0782998670351092,1.164516175472033,0.9928268411804603,0.002975263851389534,0.0032349361158013116,0.004847109613228043
mcmc,mahalanobis,0.0,0.1,,0.003057415705937039,0.010110490335643457,0.012341107097575965,0.9608539058975563,1.3144659340686657,1.0676512775922553,0.0036515098263709238,0.010917436667599695,0.012907000817926758
mcmc,reweighted,0.0,0.1,,0.007905292812446119,0.01736391898278944,0.004717313508036447,1.2226497133152792,1.3763218490479938,1.1861456802556916,0.008571364543881646,0.017396114717279244,0.009941986037865206
mcmc,euclidean,0.0,0.2,,0.004166164304278547,0.005829146218019263,0.00018855835770031915,1.0900165825716952,1.008921119342526,0.8676101427575544,0.006609544255661357,0.005884430314476319,0.010634619460595249
mcmc,mahalanobis,0.0,0.2,,0.0037353855937981018,0.01410084877389757,0.008407553585935257,1.0716600864520238,1.334223534497682,1.00627650238009,0.005325439628818159,0.014101715795652062,0.00877985895768931
mcmc,reweighted,0.0,0.2,,0.0043437827568594545,0.012250332980719064,0.0016160110541950656,1.4253549941921435,1.1666273532034213,1.1942891804642481,0.012112100831546943,0.012337384502236976,0.008339717034180637
mcmc,euclidean,1.0,0.05,,2.4077941178646256e-05,0.006863218441515412,0.007434910680750695,0.9957177111677067,1.0459962657907065,0.886952114085161,0.0014908977026962442,0.006968134793531433,0.008534506210632434
mcmc,mahalanobis,1.0,0.05,,0.010685297568491209,0.010855206039739329,0.02270391096265817,0.8521301802135579,1.205567139881842,0.9377131999552083,0.010903165413326863,0.010964767589048371,0.022718024277311656
mcmc,reweighted,1.0,0.05,,0.0014505341451055698,0.011486561337997692,0.01170374929995105,1.242641744562397,1.3082520844616736,1.1274816739050708,0.0059267688263865675,0.011501366699145454,0.011746899808771876
mcmc,euclidean,1.0,0.1,,0.0002730536586228183,0.0018057499933455262,0.007737246164850886,1.0313245254672907,1.06747406655938,0.9651089155883753,0.0029439709568218654,0.00247712008159462,0.007821282898383998
mcmc,mahalanobis,1.0,0.1,,0.0027617526724867947,0.011329636895281908,0.006676236985406592,0.9548896098278508,1.3062078587245647,1.0292382110880824,0.0032068601979774163,0.011377297173598372,0.006990222386601365
mcmc,reweighted,1.0,0.1,,0.001937637889514593,0.007339551501281988,0.014358839976047533,1.2772583217432494,1.3079526092624272,1.1424257446481,0.007497593268758251,0.007712275933629344,0.01668614455618055
mcmc,euclidean,1.0,0.2,,0.0059049472084399535,0.004788453331206713,0.0030555776439566973,0.8192066973650329,1.2108520881514915,0.8494423542140391,0.006807932523808736,0.005533560562820512,0.009569592841380675
mcmc,mahalanobis,1.0,0.2,,0.002457917435630036,0.016571067963952385,0.000533964459659475,1.2541524668447221,1.6031448309724474,0.9057751207904027,0.008793623556571773,0.01658273024811477,0.00831220306423456
mcmc,reweighted,1.0,0.2,,0.00592405727892914,0.00820038987665668,0.016803532564598933,1.2738945300096325,1.352371775580406,1.022901382835189,0.007790946293008032,0.008612617518151731,0.017505600344285433
mcmc,euclidean,2.0,0.05,,0.0023855139496782862,0.0074255062683236395,0.0012544648597345165,0.8931311311434614,1.251812641668617,0.962003652231005,0.004024325051383869,0.007558547090205357,0.0025176464946672305
mcmc,mahalanobis,2.0,0.05,,0.005501582328619803,0.029294994745131253,0.004010612987006501,0.8622849623011514,1.441689556265092,1.082908601246563,0.0069165525219827845,0.029297975422428842,0.005459329374583484
mcmc,reweighted,2.0,0.05,,0.005042980461310992,0.0031215712960587227,0.010276830816081384,1.1580113405285624,1.2055504788318188,1.1469683984724073,0.007378507059354259,0.003484392159549348,0.010942300605284727
mcmc,euclidean,2.0,0.1,,0.0022661413371812544,0.0019828783739514605,0.001144635063684396,0.9615748443467069,1.148411262126916,0.9905813729109643,0.0033046022902940638,0.0025630632364117304,0.005382770604573919
mcmc,mahalanobis,2.0,0.1,,0.002630311977666361,0.01741528346030008,0.0023104783976475307,1.0437413583540904,1.3866472521204762,1.0964240446582272,0.0033466502051364266,0.017423345677401447,0.00589333755782245
mcmc,reweighted,2.0,0.1,,0.010679579088808289,0.005764391279472286,0.0012571644956579364,1.3718339747075847,1.1916787710817738,1.067867717014733,0.011403163304423945,0.005763250774355575,0.004754632054929797
mcmc,euclidean,2.0,0.2,,8.613227050313643e-06,0.0050174258748414136,0.0039883974677236145,1.0884068337028958,1.0979986574654694,1.0045949386751147,0.005281880201301902,0.005035045530664294,0.008969673981678852
mcmc,mahalanobis,2.0,0.2,,0.004713886038906823,0.010172905750384306,0.02798246969020579,1.0201911524118557,1.2877308571443145,0.9510231163697012,0.005714948172114861,0.010489019269956022,0.02798745709560801
mcmc,reweighted,2.0,0.2,,0.013020730361337218,0.012118086016136662,0.009967301874966195,1.2842873491959306,1.3803638216387009,1.0063296218097082,0.01366942119129184,0.012117240129610555,0.010566803280260268
