method,distance,seed,proposal_scale,tolerance,n_samples,beta_mean,beta_median,beta_std,beta_q025,beta_q975,beta_width_norm,gamma_mean,gamma_median,gamma_std,gamma_q025,gamma_q975,gamma_width_norm,rho_mean,rho_median,rho_std,rho_q025,rho_q975,rho_width_norm,beta_mean_shift,gamma_mean_shift,rho_mean_shift,beta_std_ratio_vs_baseline,gamma_std_ratio_vs_baseline,rho_std_ratio_vs_baseline,beta_w1_vs_baseline,gamma_w1_vs_baseline,rho_w1_vs_baseline,epsilon,acc_rate
rejection,euclidean,,,0.01,50,0.19250330805133634,0.18574188153858323,0.04920873877792376,0.11699587725148614,0.28178290828481756,0.37880904773221674,0.09976365151184236,0.10298102131868428,0.026658578135921564,0.05701011536701056,0.14734850061233418,0.5130445754328995,0.32495879586303666,0.33084020288191485,0.07579083566173547,0.19283235599248327,0.434212017372602,0.32818394528557243,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,
rejection,mahalanobis,,,0.01,50,0.17666941714896417,0.1775077914562015,0.03628342946007577,0.11601083123924476,0.23904951161276233,0.2793099702119672,0.10572445233418737,0.10251357708178314,0.028768648851783447,0.06375669993946229,0.1628486521980005,0.5536529052932996,0.3016132410881902,0.3024579188857626,0.060914017804724815,0.18252237527417794,0.3981220410578747,0.26376543432734645,0.015833890902372166,0.005960800822345014,0.023345554774846455,0.737337114527987,1.0791516601186855,0.803712180673032,0.01592587969240555,0.005838055181944127,0.02446063065608287,,
rejection,reweighted,,,0.01,50,0.18827002119450742,0.1866609802294844,0.04276066531508417,0.11738201043570957,0.2762848904184821,0.3291717550718845,0.10133285883736329,0.10394782015426356,0.025020930156545124,0.05721618104225444,0.14864281092245152,0.481528025375205,0.3284346856634568,0.31987729506016743,0.05665346895652569,0.22524587923976758,0.4334333849276996,0.2453167166443216,0.004233286856828916,0.0015692073255209327,0.003475889800420129,0.8689648704076856,0.9385695677006208,0.7474976157985329,0.00817235517341752,0.003482535452189554,0.01901718947701319,,
rejection,euclidean,,,0.02,100,0.19860471715849604,0.20309148474344635,0.050793253586197365,0.11446870810332256,0.2978890413343674,0.3910066484134396,0.10673068926765232,0.10085779676098049,0.032602549337534106,0.05852404992565809,0.1749656932862657,0.6274363545431123,0.3201518221034893,0.3216258305189795,0.06949124383045327,0.20616963680918823,0.44686970981594365,0.30090591248875587,0.0061014091071597,0.0069670377558099655,0.004806973759547362,1.0321998662762812,1.2229665502528522,0.9168818792367178,0.007157408066482482,0.007064180323916277,0.010585479565078137,,
rejection,mahalanobis,,,0.02,100,0.18951493883987003,0.18590076659003807,0.040355401985964004,0.1166640700601573,0.2599172207634778,0.31065602933135833,0.11237153869671608,0.1099527966700447,0.03147082661042414,0.058827998869530974,0.17212703575184576,0.6056563405049471,0.3108350353336022,0.3071711279687003,0.07219846437869275,0.19007044852229754,0.46229251335080956,0.31262852133086894,0.0029883692114663074,0.012607887184873726,0.014123760529434481,0.8200860860930745,1.1805140713044342,0.9526015084584111,0.007773651989049981,0.0128800479288802,0.016970483674136384,,
rejection,reweighted,,,0.02,100,0.19235984801555606,0.18589450139762104,0.04492225584288354,0.11898223910475295,0.28144799511332796,0.34581168671325396,0.10863590633109219,0.10870695696449836,0.030822997239703345,0.060817254620617385,0.16915309016033322,0.5931888584524605,0.3200731374916002,0.30778048260557167,0.06543467375929052,0.20740775470074865,0.4486717245143079,0.2833404488194629,0.00014346003578027955,0.00887225481924983,0.004885658371436452,0.9128918350379823,1.1562130989338235,0.8633586526388775,0.005789593070580411,0.008906853897327515,0.01814376812301333,,
rejection,euclidean,,,0.05,250,0.2247157962386489,0.22565360101744864,0.06498056336970064,0.11865332958013053,0.3428067410609344,0.5002206100478692,0.11899644282625531,0.11822660958294423,0.037818346097684204,0.05633283615854741,0.1847527264361806,0.7278144099934801,0.3381525812440166,0.33352906857172154,0.09176268836875412,0.18160197923362964,0.5028773251184592,0.39734409623447947,0.032212488187312566,0.019232791314412953,0.013193785380979928,1.3205086125648173,1.4186182738202837,1.2107359361797136,0.032289317321608516,0.019443133524711945,0.01647666563817332,,
rejection,mahalanobis,,,0.05,250,0.21556300920346227,0.21266107589961508,0.060773692586820804,0.12022237444051664,0.3536664005843128,0.4678361036619807,0.12621706142067998,0.12815964124582205,0.04011975141385157,0.05786581254735585,0.1926401599403994,0.7721049759536024,0.3134644074307673,0.31369729225515386,0.09567953022114165,0.12921676815450162,0.49700395093407634,0.4143045189683479,0.02305970115212594,0.026453409908837627,0.011494388432269353,1.2350182934191631,1.5049471584454654,1.2624155596881403,0.02311417828564864,0.026779473210114466,0.023220759148711943,,
rejection,reweighted,,,0.05,250,0.22913547347680158,0.2260744985022553,0.07100771059703079,0.11375246015803958,0.35750204401892327,0.5466176110364634,0.11553036868471814,0.11162786540480238,0.03789943961616067,0.05614921071999047,0.19345822646210886,0.7293750554842109,0.32370534421947855,0.32578030283396175,0.09471675515643277,0.15130589841543066,0.4946589423207794,0.4101355806475075,0.03663216542546524,0.015766717172875783,0.0012534516435581122,1.4429898501866618,1.4216602034409485,1.2497125058650387,0.03732800681342013,0.01611431833867767,0.018337500096808804,,
mcmc,euclidean,0.0,0.05,,4000,0.17529410665533635,0.1769533571604957,0.0303174930679646,0.12068275206537893,0.23142774936409619,0.2333841704525863,0.08834009340583066,0.08768252970169423,0.01779988142882162,0.059736862437259224,0.12175137263526012,0.34255887781578603,0.31518047219014383,0.3154387714062604,0.0538416137716217,0.2157135784733136,0.41277473671513515,0.23314102653487237,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9562361445956326,0.1426
